16.145313317	1104.56628236	0.0
16.4171581807	1105.03466615	0.0
16.6662636347	1105.46288881	0.0
16.979156549	1106.00207338	0.0
17.2737465444	1106.50781068	0.0
17.5621071422	1107.00268373	0.0
17.770183618	1107.36010561	0.0
18.1512070245	1108.01623354	0.0
18.4693127227	1108.56493959	0.0
18.7478733613	1109.04418764	0.0
18.9826698859	1109.44787416	0.0
19.3337059561	1110.05138978	0.0
19.6349831179	1110.56994447	0.0
19.9882641383	1111.17687806	0.0
20.3297062464	1111.76244935	0.0
20.6608582083	1112.33202943	0.0
20.9870396213	1112.89245424	0.0
21.3144379213	1113.45507631	0.0
21.6452713562	1114.02258119	0.0
21.9060669506	1114.46850404	0.0
22.0881729667	1114.78051576	0.0
22.3345337464	1115.24694642	0.0
22.4694901057	1115.57714662	0.0
22.9447041113	1116.47448549	0.0
23.1869297581	1116.91674623	0.0
23.4624291021	1117.41943178	0.0
23.7066212241	1117.86413393	0.0
23.9658947539	1118.33605775	0.0
24.2289047802	1118.8153058	0.0
24.4867401676	1119.28649721	0.0
24.7410717563	1119.75195131	0.0
24.9081192577	1120.05724916	0.0
25.2404690337	1120.66381654	0.0
25.4913540431	1121.12194643	0.0
25.7354431691	1121.56725892	0.0
26.0531273429	1122.14660463	0.0
26.329172189	1122.65026674	0.0
26.5672894069	1123.08447084	0.0
26.9859104707	1123.84741029	0.0
27.3340931499	1124.4826642	0.0
27.6329460698	1125.02758607	0.0
27.8524113256	1125.42809877	0.0
28.2067413888	1126.07348451	0.0
28.4904251653	1126.589964	0.0
28.7049198694	1127.1076642	0.0
29.0538044522	1127.61535463	0.0
29.3481407713	1128.14977846	0.0
29.5835362021	1128.57665834	0.0
29.9857769562	1129.30688295	0.0
30.2242184232	1129.73986635	0.0
30.5396633708	1130.31310853	0.0
30.850648934	1130.87902651	0.0
31.1111775002	1131.35412416	0.0
31.412487086	1131.90319643	0.0
31.7058544717	1132.43737611	0.0
31.9610710693	1132.902464	0.0
32.2816658572	1133.4884015	0.0
32.566856439	1134.01074037	0.0
32.841362055	1134.51257142	0.0
33.0829849801	1134.95397768	0.0
33.3898506704	1135.51428041	0.0
33.5357781018	1136.051756	0.0
33.9932098928	1136.6154767	0.0
34.2941704351	1137.16503725	0.0
34.551479395	1137.63476381	0.0
34.8821907592	1138.23852358	0.0
35.1393738344	1138.70739564	0.0
35.4219704228	1139.22241029	0.0
35.6032867992	1139.5529767	0.0
35.9788437436	1140.23681459	0.0
36.2514763437	1140.73327455	0.0
36.4592552743	1141.11157045	0.0
36.7865105222	1141.7071515	0.0
37.0468254637	1142.1804181	0.0
37.3011856621	1142.64318666	0.0
37.5547218869	1143.10412416	0.0
37.8029900143	1143.55578432	0.0
38.017349297	1144.11157045	0.0
38.3795548026	1144.6064435	0.0
38.6781311574	1145.15099916	0.0
38.905967768	1145.56725893	0.0
39.2185249874	1146.13818178	0.0
39.4719544	1146.60180482	0.0
39.7415199822	1147.11193666	0.0
39.9550018857	1147.50842104	0.0
40.1354599561	1148.11950502	0.0
40.34550863	1148.65807923	0.0
40.3841057368	1149.10278139	0.0
40.5100021904	1149.73498354	0.0
40.6364250735	1150.18920717	0.0
40.8135719858	1150.66039857	0.0
40.9875526971	1151.13244447	0.0
41.0197945182	1151.71655092	0.0
41.0011215755	1152.17700013	0.0
41.1383591259	1152.72424135	0.0
41.2247925348	1153.2729474	0.0
41.2235375004	1153.78149232	0.0
41.1143341624	1154.21813783	0.0
41.0163078851	1154.84289369	0.0
40.8547745293	1155.32494936	0.0
40.7629089899	1155.84509096	0.0
40.564476068	1156.33068666	0.0
40.5464134754	1156.84997377	0.0
40.5264511662	1157.35912904	0.0
40.2731705272	1157.81616029	0.0
40.1376038148	1158.33935365	0.0
39.8286171519	1158.7371808	0.0
39.6860046944	1159.19433412	0.0
39.4819641674	1159.67773256	0.0
39.0510712227	1160.00402651	0.0
38.7072716312	1160.38073549	0.0
38.2750015803	1160.64575014	0.0
37.8332558219	1160.9357892	0.0
37.5506859376	1161.36279115	0.0
37.0775223324	1161.61376771	0.0
36.6445351202	1161.95190248	0.0
36.1878700807	1162.26464662	0.0
35.8204727722	1162.61535463	0.0
35.4320908142	1162.78307924	0.0
34.8367500858	1162.98852358	0.0
34.3428650461	1163.20348939	0.0
33.872615869	1163.48119936	0.0
33.3811302733	1163.68017396	0.0
32.8717041573	1163.80114565	0.0
32.3857269846	1163.98205385	0.0
31.9527416775	1164.21386537	0.0
31.4275341576	1164.51965151	0.0
30.9295750209	1164.80895814	0.0
30.4607811529	1165.08056459	0.0
29.9839039397	1165.35668764	0.0
29.4836960388	1165.5340558	0.0
29.0769119819	1165.73303041	0.0
28.4968147817	1166.04711733	0.0
28.0095501496	1166.30859193	0.0
27.5498695921	1166.55492983	0.0
27.0314865653	1166.83288393	0.0
26.6770363412	1167.02282533	0.0
26.0418167671	1167.3634015	0.0
25.5037003109	1167.65307436	0.0
25.1320076533	1167.88281069	0.0
24.4830208365	1168.2404767	0.0
24.0407028749	1168.48205385	0.0
23.477474268	1168.79015932	0.0
22.9856682381	1169.05969057	0.0
22.5006905146	1169.32482728	0.0
22.0259934018	1169.58459291	0.0
21.5487976628	1169.84582338	0.0
21.0670204708	1170.10986147	0.0
20.5657101228	1170.3843976	0.0
20.0634861541	1170.65942201	0.0
19.5650654392	1170.93273744	0.0
19.0519619533	1171.2137433	0.0
18.6486015861	1171.43444643	0.0
17.9773083271	1171.8021222	0.0
17.4450569699	1172.09411439	0.0
16.9889393405	1172.34423647	0.0
